Id,Media Fitness,Media peso,Maior Fitness,Maior Fitness - Peso
0,17.29,11.6,30.8,13.4
11,22.27,11.68,34.0,15.5
22,23.55,11.01,36.900000000000006,14.3
33,26.59,11.71,36.900000000000006,14.3
44,27.38,11.72,36.900000000000006,14.3
55,29.76,12.68,36.900000000000006,14.3
66,29.84,12.5,36.900000000000006,14.3
77,30.97,12.87,37.2,14.7
88,31.64,13.67,37.2,14.7
99,31.49,13.49,37.2,14.7
