Id,Media Fitness,Media peso,Maior Fitness,Maior Fitness - Peso
0,18.11,11.38,31.0,10.8
11,19.79,10.91,31.0,10.8
22,24.61,11.92,37.400000000000006,13.899999999999999
33,23.37,11.19,33.8,13.0
44,27.86,11.21,39.3,14.1
55,32.59,12.63,39.3,14.1
66,32.7,12.77,42.5,14.7
77,32.76,12.96,42.5,14.7
88,36.18,13.49,42.5,14.7
99,34.05,13.74,42.5,14.7
